  0.10000000000000001                    (2.0000000000219522,0.0000000000000000)
  0.20000000000000001                   (1.9419358591346203,0.28935232318044318)
  0.30000000000000004                   (1.7882553503523377,0.52228457560811525)
  0.40000000000000002                   (1.5847903516893584,0.67112995797734942)
  0.50000000000000000                   (1.3746271929367668,0.73957289210380650)
  0.60000000000000009                   (1.1837495741277535,0.74706818690318488)
  0.70000000000000007                   (1.0222527039723939,0.71458457475749759)
  0.80000000000000004                  (0.89084895903755401,0.65841503347809294)
  0.90000000000000002                  (0.78622538725578395,0.58941739871540821)
   1.0000000000000000                  (0.70402606532821321,0.51421032882547280)
   1.1000000000000001                  (0.64015957745594754,0.43657131370503532)
   1.2000000000000002                  (0.59123454596436231,0.35850796737423934)
   1.3000000000000000                  (0.55461718318795150,0.28096733536401697)
   1.4000000000000001                  (0.52835506505555707,0.20427555403106756)
   1.5000000000000000                  (0.51107324311368685,0.12840235471329009)
   1.6000000000000001             (0.50188351336722692,5.31191104755761034E-002)
   1.7000000000000002            (0.50031999670296123,-2.19045400701703211E-002)
   1.8000000000000000            (0.50630391342597258,-9.70362978774642199E-002)
   1.9000000000000001                 (0.52013754373815813,-0.17262879512885679)
   2.0000000000000000                 (0.54252727589762517,-0.24896233223610756)
   2.1000000000000001                 (0.57463596491213820,-0.32616453846468529)
   2.2000000000000002                 (0.61816347975397112,-0.40408225747123050)
   2.3000000000000003                 (0.67544792382455665,-0.48206814767168382)
   2.4000000000000004                 (0.74956130459186188,-0.55862399090439430)
   2.5000000000000000                 (0.84432718917555505,-0.63081619580967119)
   2.6000000000000001                 (0.96408532574970274,-0.69336295429012773)
   2.7000000000000002                  (1.1128275598061868,-0.73734862527991829)
   2.8000000000000003                  (1.2920233725036521,-0.74882119387713764)
   2.9000000000000004                  (1.4962775381075841,-0.70841117892308803)
   3.0000000000000000                  (1.7068919975853112,-0.59476769760837600)
   3.1000000000000001                  (1.8872473440394779,-0.39549286284534313)
   3.2000000000000002                  (1.9896792401996377,-0.12398918813140693)
   3.3000000000000003                   (1.9797604161206599,0.17305621066456836)
   3.4000000000000004                   (1.8610675224463156,0.43485091065362852)
   3.5000000000000000                   (1.6723737322702539,0.61975754929897953)
   3.6000000000000001                   (1.4607624754413651,0.71977657340239765)
   3.7000000000000002                   (1.2598627301778080,0.74993464885602523)
   3.8000000000000003                   (1.0856698822887030,0.73177518637406413)
   3.9000000000000004                  (0.94201345907863065,0.68384472581431732)
   4.0000000000000000                  (0.82676447596705338,0.61916963845180906)
   4.1000000000000005                  (0.73576701803629807,0.54595226592149593)
   4.2000000000000002                  (0.66473145110281540,0.46899921390766697)
   4.2999999999999998                  (0.60995430356207914,0.39094900077271860)
   4.4000000000000004                  (0.56849178048820981,0.31312331347472233)
